Hospital	Type_of_variable	Variable	Transformation_chosen_by_bestNormalize
Klangenfurt	Metabolite	L_Tyrosine	arcsinh_x
Klangenfurt	Metabolite	Gallic_acid	orderNorm
Klangenfurt	Metabolite	L_Histidine	orderNorm
Klangenfurt	Metabolite	p_Cresol	arcsinh_x
Klangenfurt	Metabolite	L_Phenylalanine	center_scale
Klangenfurt	Metabolite	L_Tryptophan	orderNorm
Klangenfurt	Metabolite	Xanthine	arcsinh_x
Klangenfurt	Metabolite	Hypoxanthine	arcsinh_x
Klangenfurt	Metabolite	Formic_acid	boxcox
Klangenfurt	Metabolite	Nicotinic_acid	arcsinh_x
Klangenfurt	Metabolite	Two_FL	orderNorm
Klangenfurt	Metabolite	Three_SL	orderNorm
Klangenfurt	Metabolite	Six_SL	arcsinh_x
Klangenfurt	Metabolite	LDNDFH	center_scale
Klangenfurt	Metabolite	LNFP1	orderNorm
Klangenfurt	Metabolite	LNFP3	arcsinh_x
Klangenfurt	Metabolite	LNnT	arcsinh_x
Klangenfurt	Metabolite	LNT	orderNorm
Klangenfurt	Metabolite	Three_FL	orderNorm
Klangenfurt	Metabolite	LDFT	arcsinh_x
Klangenfurt	Metabolite	LSTa	orderNorm
Klangenfurt	Metabolite	LSTb	boxcox
Klangenfurt	Metabolite	LSTc	arcsinh_x
Klangenfurt	Metabolite	Methyl	arcsinh_x
Leoben	Genus	Enterococcus	orderNorm
Leoben	Genus	Staphylococcus	arcsinh_x
Leoben	Metabolite	Capric_acid	boxcox
Leoben	Metabolite	Butyric_acid	arcsinh_x
Leoben	Metabolite	L_Leucine	boxcox
Leoben	Metabolite	L_Valine	boxcox
Leoben	Metabolite	L_Isoleucine	arcsinh_x
Leoben	Metabolite	Propionic_acid	yeojohnson
Leoben	Metabolite	Propylene_glycol	boxcox
Leoben	Metabolite	Isopropyl_alcohol	orderNorm
Leoben	Metabolite	Valeric_acid	arcsinh_x
Leoben	Metabolite	L_Lactic_acid	orderNorm
Leoben	Metabolite	L_Alanine	arcsinh_x
Leoben	Metabolite	L_Lysine	orderNorm
Leoben	Metabolite	Acetic_acid	arcsinh_x
Leoben	Metabolite	Aminopentanoic_acid	center_scale
Leoben	Metabolite	L_Glutamic_acid	arcsinh_x
Leoben	Metabolite	Succinic_acid	orderNorm
Leoben	Metabolite	beta_Alanine	orderNorm
Leoben	Metabolite	Methylamine	arcsinh_x
Leoben	Metabolite	L_Aspartic_acid	arcsinh_x
Leoben	Metabolite	Sarcosine	orderNorm
Leoben	Metabolite	Trimethylamine	log_x
Leoben	Metabolite	L_Asparagine	center_scale
Leoben	Metabolite	Malonic_acid	log_x
Leoben	Metabolite	Choline	arcsinh_x
Leoben	Metabolite	Betaine	boxcox
Leoben	Metabolite	Taurine	arcsinh_x
Leoben	Metabolite	Phenylacetic_acid	arcsinh_x
Leoben	Metabolite	Glycine	arcsinh_x
Leoben	Metabolite	Glycerol	orderNorm
Leoben	Metabolite	D_Fructose	sqrt_x
Leoben	Metabolite	L_Proline	boxcox
Leoben	Metabolite	Lactulose	boxcox
Leoben	Metabolite	D_Glucose	orderNorm
Leoben	Metabolite	Galactose	orderNorm
Leoben	Metabolite	Sucrose	sqrt_x
Leoben	Metabolite	Uracil	arcsinh_x
