Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382
Enterococcus,23,80,0,38,0,350,103,44,154,92,34,0,0,149,100,0,26,0,0,0,0,0,0,0,0,0,15,0,0,292,85,0,787,78,22,32,194,78,24,84,839,74,43,76,89,10330,21833,10046,8914,34,0,33,125,88,34,0,622,71,0,26,89,89,0,0,0,0,0,0,0,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,13,140,171,45,0,0,58,0,0,0,0,0,0,0,0,0,23321,23,0,0,0,0,0,0,0,0,0,0,0,0,1201,357,342,364,958,59775,52190,80573,32296,1208,146,98,48,32124,14954,24721,352,285,361,244,87,125,107,399,967,89,0,0,63476,54228,379,69397,65988,79081,19945,8307,21466,16221,216,78329,65361,69566,71478,58282,116,74347,75302,64055,44777,43233,49551,85,114,70476,58643,60553,40830,27570,461,320,137,312,28713,13043,19285,193,79,29818,24085,22241,21078,12519,21439,21740,22966,35484,26608,9761,26498,72,124,0,217,33021,23437,17336,31718,23243,29365,6514,11142,5319,18507,146,468,182,516,24222,15481,278,156,199,158,25836,33786,5190,102,227,102,32230,13101,14041,6063,83,246,369,109,3654,13527,15014,144,26831,29375,32822,28130,20115,23923,118,70,169,17439,92,97,56,20590,23362,6852,4691,110,0,0,34,1988,15479,28502,62,7746,6047,26988,22560,22497,9495,45,16,182,156,14161,22023,15446,221,28856,24123,28110,17487,24030,24653,27155,33598,36790,33526,18034,16426,16360,138,100,31276,34036,30228,28300,33386,107,311,0,0,34,23908,35428,206,123,59,260,34915,32014,31380,69,329,36167,42024,35838,27716,27060,55,215,186,170,213,113,14444,67,315,83,269,14984,19827,17410,81,45,36703,34090,31193,14076,9531,27551,17624,33277,26318,20741,18496,4946,70,408,6171,27029,36106,35005,10867,52,769,24848,28005,16639,11977,14720,44,10493,10480,3437,691,784,1228,21,802,8219,35578,29918,25384,28175
Bifidobacterium,259,631,415,24015,49508,36394,59761,312,180,2036,29,18002,51355,42405,591,32,841,264,15053,14906,49243,19,284,222,5397,1578,1583,12323,150,171,298,128,43285,46803,15469,70,110,62824,46464,0,29708,56794,411,239,307,36,292,15899,11399,50,279,288,195,80963,42043,18723,133,198,18578,22012,29975,15135,41004,111,152,24265,20682,51892,72932,22989,76,154,55149,72126,46377,45487,81571,43,18,17356,34708,34361,25107,52092,779,112,11086,30748,19268,32910,26382,115,31,11,985,10055,14315,189,207,27,14852,41946,30176,55725,91,35,37589,24614,25786,12927,32931,159,31,34,412,22762,42652,46386,344,285,45063,60305,37815,33274,37111,0,0,9,8,0,8,0,108,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,70,0,0,0,0,8,11,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,604,658,0,0,0,0,0,0,0
Lactobacillus,17,37,17,20156,2967,3588,184,26,0,42,12,7396,130,437,69,0,0,1122,24311,39,428,83,26,22,0,698,31,161,96,31,0,0,137,4660,571,0,0,81,383,0,5205,351,21,0,125,67,27,12211,1603,17,51,0,418,588,593,19251,66,4,13182,1071,2049,17793,2813,28,45,31367,25411,364,274,455,0,65,104,236,15486,265,1592,0,27,15586,9007,1407,21305,2230,0,0,21062,1123,102,81,2547,0,0,0,1814,5836,4940,66,8,0,22813,294,8424,453,12,0,266,78,272,93,8812,0,0,0,0,238,855,428,23,0,782,91,2847,344,852,50,82897,16847,1293,1417,251,82,447,89252,92532,15111,957,0,286,45,101515,49208,3630,605,3597,469,58,60,67252,81433,2027,856,437,806,2161,62,597,219,29,220,157,53615,239,112,464,979,187,1351,2504,367,1719,1322,261,1489,17,85173,158,2469,1221,275,830,224,98992,49446,85601,376,337,53,5,403,106,693,816,54,206,0,1107,925,355,0,1094,422,114,40728,17417,36919,187,772,321,0,384,322,55,392,237,457,0,26630,20997,107,54,15,19,29140,29095,19402,150,229,26779,44,32184,27028,1544,188,56,65,0,0,47009,35161,1338,166,85,144,2192,402,376,100,94,702,0,21195,1320,204,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,37,10,0,0,0,37,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,937,0,0,0,0,0,0,0,17,0,0,0,0,0,8,4962,10211,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,19,289,86,54,0,135,76,0,16,322,411,42,118,326,219,165,328,1614,429,88,99,263,71,32,52,63,44,32,14,29984,68850,36586,42,0,0,0,0,53,22,755,179,61,18,0,10785,24816,22509,2991,8615,93,4791,1625,4162,2056,316,0,0,0,0,279,3031,2685,1798,32,452,476,0,116,975,9026,48,1435,64,0,0,20,7,5,0,0,14,91,13,526,0,0,11,315,2371,1639,2577,0,0,0,0,74,28,8,88,53,0,432,116,741,12,42670,15269,26320,12976,1451,268,92,0,138,56,90,74,72,71,189,6043,49,874,13474,6734,82,126,45292,3630,7341,173,3364,133,53,69,38652,19210,30163,22664,53,82,39278,66021,79861,53764,79044,254,115,120,57,54233,3590,4369,122,0,0,925,2964,993,395,418,41743,167,1847,1881,44,3400,96,216,0,1991,7443,9858,7517,53,40,0,15,443,653,4598,243,73,0,544,84,2076,3512,34,0,88,1667,517,406,1774,1249,0,0,0,0,5615,938,0,64,104,115,475,3316,2855,92,399,65,3748,4098,9318,2709,0,47,7142,5730,2000,886,0,27,522,129,199,94,72,0,29,39,0,4321,8520,1241,39,136,86,88,16025,3423,5295,0,8,0,317,206,393,1607,0,5171,15867,2601,0,107,25269,4969,455,83,8,0,120,46,25692,27160,4507,2951,0,42,18297,378,404,1429,2048,0,0,283,15055,112,454,826,0,0,57,18,0,72,1021,38,0,0,1040,2607,3190,3378,0,230,0,21,92,92,202,37,80,3577,4677,25157,2520,1006,0,40926,22943,35268,4399,2749,2348,0,100,0,0,195,527,3828,0,36,61,35469,24612,8854,9934,17,103,32857,29866,6737,5447,4644,18,94,0,305,509,302,550,39,0,48,776,1729,2385,468,0,78,178,0,0,0,252,0,147,527,34,54,612,931,0,7204,16,0,0,0,0,0,43,0,252,39,77,167
Streptococcus,19,0,15565,127,20,46,39,67,32,16113,48673,33,13,97,35,0,74,21149,167,0,79,27229,301,34,0,0,54,0,0,0,0,0,0,0,0,9,0,4809,314,58,0,41,0,10,4836,0,0,0,0,9,4381,2547,808,11,6825,164,0,0,15,19,0,3537,579,12,16696,135,26,0,215,30,0,0,5952,0,84,7,0,57,0,34,359,22,0,1122,13,54,8,255,22053,1555,4147,0,0,0,68,218,0,21,505,5862,6,0,0,0,0,2697,779,0,0,0,608,0,0,0,0,0,0,0,15,73,11,8,62,0,21,17,0,13,0,0,0,3,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,4,0,0,8,31,86,0,0,0,93,155,89,54,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,7,0,0,0,0,0,0,0,0,0,0,675,128,0,0,1012,0,68,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,225,46,7,10,0,0,0,8,83,37,0,0,0,50,9,200,1949,0,0,34,0,8,108,0,0,0,130,8,37,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,166,220,16,0,0,35,0,0,136,0,246,196,49,0,0,0,27,0,0,7,0,0,863,0,2911,375,63,0,25,603,0,265,197,238,0,66,0,0,0,0,0,0,0,0,0,0,23,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
Geobacillus,13,91,0,504,1408,5416,2418,0,0,7,0,1084,3955,3941,0,0,0,14,313,706,1301,0,0,0,298,46,68,83,0,0,16,5,2145,2404,982,0,0,11,389,20,4138,3142,29,34,17,0,75,589,288,0,46,10,45,0,70,2419,39,19,816,1203,2066,771,87,5,2,1064,678,4537,2482,68,0,14,1045,2674,2707,9432,6764,4,0,647,6298,5579,117,305,0,0,286,3800,277,238,76,0,0,0,56,11,33,27,15,0,745,10723,95,102,0,0,106,3578,1778,682,73,0,8,0,19,593,2492,4671,23,3,7908,1645,4700,2320,6215,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veillonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,122,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,95,88,15,0,60,0,0,0,52,5,0,0,23,0,10302,10658,24731,1818,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3728,0,0,0,0,0,0,15,42,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,137,4505,3697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,3394,3738,3961,0,0,0,0,0,0,0
Enterobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,84,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,11955,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5670,1096,0,0,0,0,0,0,0,30,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,3,1305,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21940,0,0,0,0,0,0,0,180,0,876,1788,3572,0,0,0,0,0,0,0
Escherichia-Shigella,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,3496,2184,2216,1813,3157,1502,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,29,57,16,76,40,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2730,2624,3222,1851,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,27,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,1383,0,223,0,0,0,0,0,0,0,0,0,372,574,857,435,1320,875,0,0,0,0
