OTU	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
OTU62	0	0	0	0	2	0	286	4	0	1	0	0	0	0	0	0	2	1	0	25	0	0	0
OTU63	0	0	0	0	1	0	72	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU64	0	0	0	0	0	0	105	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU65	0	0	1	0	3	0	1521	56	0	240	1	3	1	9	137	71	51	6	0	79	190	634	0
OTU66	0	0	0	0	0	0	52	119	0	211	0	6	1	57	149	11	17	0	0	3	39	177	0
OTU67	0	0	0	0	15	1	3183	45	1	204	1	2	1	11	170	38	74	7	2	190	110	612	0
OTU68	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU69	0	0	0	0	0	0	4	17	0	45	0	0	0	0	1	1	0	0	0	0	5	11	0
OTU70	0	0	0	0	0	0	84	3	1	2	7	1	0	50	6	1	7	0	13	11	18	478	0
OTU71	0	0	0	0	0	0	29	69	0	275	0	2	0	19	136	0	0	0	0	1	0	0	0
OTU72	0	0	0	0	0	0	95	22	0	2	0	0	0	9	9	0	0	0	0	0	0	0	0
OTU73	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	1	0	0	0	6	14	0
OTU74	0	0	0	0	0	0	35	1	0	2	0	0	4	0	11	1	1	0	0	0	0	2	0
OTU75	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
OTU76	0	0	0	0	0	0	17	3	0	17	0	0	0	0	5	1	5	0	0	0	0	24	0
OTU77	0	0	0	0	0	0	144	2	0	43	2	17	18	7	1	2	0	0	0	0	1	1	0
OTU78	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	0
OTU79	0	0	0	0	1	0	0	15	1	6	34	20	10	6	32	43	31	34	11	21	1	4	0
OTU80	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU81	0	0	0	0	0	0	0	1	0	13	1	0	1	1	1	0	0	0	0	2	0	0	0
OTU82	179	0	132	0	3	65	81	0	0	2	0	0	2	1	1	0	0	0	1	4	0	8	0
OTU83	16	13	8	6	0	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU84	0	0	0	0	0	0	67	0	0	0	0	0	0	2	0	0	23	1	0	0	0	1	0
OTU85	0	0	0	0	0	0	0	4	0	14	3	13	7	2	2	0	0	2	0	0	0	0	0
OTU86	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
OTU87	0	0	0	0	0	0	1	0	0	1	0	1	1	1	19	0	0	0	0	0	0	0	0
OTU88	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU89	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	5	1	0	7	45	64	0
