Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Magnaporthe,0,0.008196721,0,0,0.000152253,0,0,0,0,0,0,0.062827225,0.004449982,0.000823045,0.001265823,0.002316602,0.000834028,0.001298701,0.000631313,0.001755926,0.000805802,0,0.000272316
Emericella,0,0,0,0,7.61267E-05,0,0,0.006782946,0,0,0.033707865,0.027486911,0.002135991,0,0,0,0,0.002597403,0,0.007023705,0.000805802,0,5.44633E-05
Phaeosphaeria,0,0,0,0.006944444,0,0.00234192,0,0.040697674,0.004694836,0,0,0.001308901,0,0.001646091,0.008227848,0.000772201,0,0.001298701,0.000631313,0,0,0.014298481,0
Schizosaccharomyces,0,0,0,0.006944444,0,0,0,0.000968992,0.197183099,0,0,0,0,0,0,0,0.004170142,0.001298701,0,0,0,0.000893655,0
Vanderwaltozyma,0,0,0,0,0,0.00234192,0.089668616,0.000968992,0.004694836,0,0,0,0,0,0,0,0,0.001298701,0,0,0,0,0
Ustilago,0.006688963,0,0,0.041666667,7.61267E-05,0,0.021442495,0,0,0,0.00102145,0.001308901,0,0,0.000632911,0.003088803,0.000834028,0,0,0,0.002417405,0.00178731,0.000272316
Yarrowia,0.010033445,0,0.004329004,0,7.61267E-05,0.007025761,0,0,0,0,0,0,0,0,0,0.000772201,0.018348624,0,0,0,0,0.00178731,0
Lachancea,0,0,0,0,0,0,0,0.000968992,0.014084507,0,0,0,0,0.000823045,0,0,0.012510425,0,0.000631313,0,0.000805802,0.002680965,5.44633E-05
Filobasidiella,0,0,0.004329004,0.013888889,0,0,0.005847953,0,0,0,0,0,0.002135991,0,0,0,0,0.001298701,0,0,0.000805802,0,0
Podospora,0,0,0,0,7.61267E-05,0.00234192,0,0,0,0,0,0,0.000177999,0.000823045,0,0,0,0,0,0,0,0.00893655,0.00032678
Kluyveromyces,0,0,0,0.006944444,0,0,0,0.000968992,0,0,0,0,0.000177999,0,0,0,0.008340284,0,0,0,0,0.000893655,5.44633E-05
Pyrenophora,0.003344482,0,0,0.006944444,0,0,0.021442495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178731,0
Moniliophthora,0,0,0.004329004,0,0,0,0,0,0,0,0,0,0.001779993,0,0,0,0,0,0,0,0.000805802,0,0
