Header	K003	K036	L071	L073	L078	L080	L085	L091	L092	L094	L098	K043	L099	L106	L107	L109	L113	L123	L127	L128	K044	L130	L134	L137	K057	K059	K064	K066	K078	K080	K007	K092	K094	K099	K106	K107	K113	K114	K116	K008	K120	K121	K127	K128	K130	K134	K135	K141	G003	K010	K007.2	G013	G014	G015	G017	G036	G058	G078	K015	G080	G085	G087	G092	G094	G099	G101	G107	G109	G114	K022	G116	G120	G121	G128	G130	G134	G161	G162	K024	G177	G179	G184	G186	G190	G191	G193	G302	L001	K029	L003	L007	L008	L010	L015	L017	L021	L022	L028	L029	K031	L030	L043	L045	L049	L050	L052	L057	L059	L064	L066
D-Glucose	8.6039	7.1264	14.7589	143.5306	11.5796	113.3088	12.4187	92.9903	11.4845	116.0489	95.1435	10.7998	7.1859	132.7321	5.7673	91.4724	115.4077	118.231	90.2182	24.812	12.8233	14.7314	90.9275	11.3084	6.9281	9.8919	7.2939	24.1493	6.9071	6.2703	36.867	8.4445	12.9198	14.1985	7.2362	5.7848	4.7871	4.6932	10.0377	7.1971	15.9981	15.1266	12.3635	2.5814	4.3363	63.6708	6.9226	39.2161	54.024	5.5182	37.8958	50.4914	95.3344	5.9412	68.5371	7.6359	7.9277	12.531	9.2109	47.1416	5.2832	69.814	4.2982	97.9906	11.3257	74.7519	6.8635	58.9957	9.7413	9.8946	76.3351	117.2042	6.9672	8.5283	84.9662	79.719	74.6596	94.3807	6.3338	8.7883	128.0313	8.6174	84.1536	223.4296	6.8688	135.7094	50.2825	10.4015	4.4621	97.7209	58.8254	8.8998	3.8511	6.9002	157.5995	100.4896	7.2862	107.3128	12.5875	10.7624	114.9789	6.6619	65.5088	135.4421	9.6516	46.5425	12.1812	123.1135	20.8926	133.1321
Galactose	0.8987	0.5708	0.7886	4.1124	1.6355	7.0784	0.706	1.8992	0.7856	3.7801	1.5057	1.505	1.2893	2.5514	0.7391	3.0865	2.981	1.7843	2.2112	0.9589	1.0067	0.6108	1.2544	1.7441	0.3889	0.8377	0.8487	7.5024	0.3891	1.2796	6.8575	2.4717	1.6886	1.2101	1.9042	0.8189	0.493	0.3885	0.7818	0.5903	4.5298	0.7608	3.2616	0.6951	0.883	26.3508	0.6711	4.5444	1.8808	0.2884	1.1991	0.8425	1.0091	0.3356	0.903	0.5969	0.573	1.0079	0.5251	0.9544	0.8656	3.004	0.7846	3.2843	0.8113	1.9585	0.7074	0.8908	0.6215	1.2434	3.5482	0.6006	0.7854	0.8158	3.3768	4.7769	4.785	5.4518	0.857	0.5594	6.7211	1.0076	5.9896	4.7399	0.3973	4.8992	3.1986	0.9675	0.3805	6.8847	3.3957	0.6417	0.2716	0.3598	6.2999	0.9664	0.8118	1.0059	1.1699	0.6808	4.5538	0.332	0.5943	1.2873	0.7418	1.9664	0.9163	8.1185	1.508	6.0387
Sucrose	0.1762	0.2911	1.1018	0.63	1.0518	0.4263	0.1815	0.3815	0.556	0.3624	0.5375	4.3162	0.3213	0.4853	0.639	0.5505	0.4244	0.3884	0.2884	0.7837	0.6465	0.4054	0.2698	0.813	0.1086	0.372	1.7519	0.6528	0.3345	1.359	0.3591	5.667	0.6392	3.0189	0.3742	0.2088	0.8102	0.5663	1.2725	-0.0688	0.2154	0.1589	0.4444	0.7742	0.3034	-0.006	0.9899	0.3703	0.2945	0.3007	0.522	0.9387	0.3632	1.3058	1.1361	0.2287	1.1685	0.2535	0.1599	0.3559	0.156	0.3044	0.258	0.997	0.1776	0.2372	0.7901	0.252	0.4331	0.2933	1.0119	0.3303	1.5836	0.2146	0.4817	0.2551	1.0341	0.4868	0.7767	1.446	0.7951	0.231	0.6668	0.3834	0.2577	0.6217	0.6194	0.2524	-0.177	0.6752	0.6457	1.629	0.6918	0.768	1.3476	0.4491	0.5913	0.5315	0.2865	0.139	0.4971	0.2198	0.3976	0.5125	0.915	0.3349	1.633	0.6512	0.2699	0.394
Uracil	0.2448	0.4435	0.3037	0.0926	0.6693	0.4756	0.486	0.2675	0.2703	0.351	0.3764	0.8081	0.4164	0.0709	0.3516	0.1589	0.1652	0.26	0.2599	0.2221	0.2701	0.1284	0.2528	0.3917	0.7142	1.3381	0.3638	0.1809	0.5024	1.4774	0.3075	0.2377	0.2594	0.2216	1.0758	0.2985	0.3334	0.303	0.3247	0.3608	0.5844	0.2857	1.4031	0.4759	0.6123	0.3246	0.2795	0.317	0.3876	0.3664	0.0904	0.2947	0.2582	0.3361	0.4668	0.373	0.2745	0.3801	0.2897	0.4063	0.071	0.6084	0.7851	0.1515	0.2415	0.1779	0.3461	0.7124	0.4998	0.2799	0.3069	0.146	0.45	0.2507	0.3321	0.1175	0.3476	0.4352	0.2929	0.3346	0.18	0.2336	0.3329	0.0205	0.1897	0.1736	0.4463	0.3151	0.2498	0.0964	0.2196	0.2334	0.0852	0.2627	0.0906	0.2257	0.0566	0.1596	0.1905	0.36	0.4149	1.1501	0.4943	0.2213	0.3755	0.2522	0.3091	0.2386	0.4331	0.0011
Fumaric_acid	0.2039	-0.0071	0.066	-0.0104	-0.3579	0.0185	0.0764	0.093	0.0262	-0.0008	0.0323	0.1817	0.0559	0.1437	0.0604	0.3647	0.1616	-0.0031	0.0372	0.0209	0.0146	0.0927	0.1645	2.9657	0.0972	0.1769	0.0239	0.0503	0.1022	0.1146	0.0294	0.0713	0.1204	0.054	0.1105	0.0371	1.0105	0.1407	0.0918	0.0622	0.1222	0.2002	0.1108	0.2466	0.7061	0.0567	0.0385	0.0218	0.0411	0.0371	0.0261	0.0251	0.0866	0.0693	0.0988	-0.025	0.0342	0.0301	0.0229	0.053	0.0089	0.0433	0.2767	0.058	0.0121	0.0358	0.0297	0.0481	0.0216	-0.0026	-0.0022	-0.0019	0.0412	0.041	0.0518	0.0004	0.0324	0.046	0.3372	0.0395	0.0374	0.1377	0.0322	0.0191	0.1108	0.0395	0.0735	0.0393	0.0198	0.0334	0.0364	0.0363	0.069	0.0195	-0.0332	0.0384	0.0678	-0.013	-0.0203	0.0738	0.034	0.1662	0.0221	0.024	0.0241	0.0409	0.0308	0.0282	0.0172	0.0308
Deoxyuridine	0.0392	0.0812	0.0328	-0.0237	-0.3124	0.0563	0.0284	-0.0115	0.091	-0.0081	0.0379	0.3486	0.1335	-0.0041	0.0128	0.0325	0.0328	0.0321	0.0375	0.0582	0.1536	0.0224	-0.0117	-0.0493	0.1242	0.0537	0.0651	0.0246	0.157	0.0409	0.1365	0.0627	0.0948	0.0852	0.1918	0.1375	0.0207	0.1843	0.2731	-0.0171	0.2252	0.1635	0.1959	0.0358	0.1294	0.0234	0.0667	0.2076	-0.0888	0.0272	0.0337	0.1747	0.0468	0.0844	0.1217	0.0814	0.0529	0.129	0.0827	0.1173	0.0553	0.0919	0.0313	0.1383	0.083	0.0684	0.0355	0.4328	0.1068	0.0419	0.0204	-0.0366	0.0929	0.0955	0.0367	-0.0164	0.1144	0.0003	0.0671	0.0754	-0.0277	0.3367	0.0973	-0.0295	0.1922	0.0605	0.0779	0.1347	0.122	0.0109	-0.0001	0.1591	0.1643	0.0059	-0.0279	0.0126	-0.0725	-0.0112	0.0518	0.18	0.0426	-0.001	0.0679	0.0067	0.0527	0.0722	0.056	0.0516	0.129	0.0322
34-Dihydroxybenzeneacetic_acid	0.1341	0.0864	0.0818	0.0178	-0.5561	-0.003	0.0877	0.1584	0.1361	0.056	0.0348	-0.5567	0.0449	-0.0117	0.0252	0.0672	-0.0046	-0.0047	0.0419	0.1653	0.1393	0.1782	-0.0233	0.119	-0.0236	0.2951	0.1906	0.0941	0.033	0.1825	-0.1575	0.0922	0.1418	0.0729	0.1144	0.1236	0.0949	-0.191	0.1508	0.0824	0.0633	0.2182	0.0979	0.2265	0.1422	-0.1941	0.1453	0.0433	-0.0607	0.1904	-0.0599	0.0971	-0.0744	0.0604	-0.0111	0.0546	0.1061	0.1942	0.1167	0.1664	-0.0725	-0.0464	0.1497	0.086	0.1826	0.0074	0.0503	0.2029	0.2152	0.1785	0.1549	-0.0105	0.1835	0.1876	0.1521	0.0022	0.0934	0.0081	0.1042	0.1835	0.009	0.1773	0.0623	-0.043	0.3132	0.0705	-0.0337	0.1305	0.0656	0.0242	-0.0304	0.0093	-0.0788	0.1261	0.0847	-0.0393	-0.1723	-0.0064	0.0648	0.1682	0.0141	0.2757	0.0618	0.0357	0.081	0.2208	0.1494	0.016	0.0925	0.0761
L-Tyrosine	1.9219	2.2138	0.4951	1.2403	0.9218	0.5853	0.37	4.2019	2.3512	1.7097	1.1053	1.7183	1.2276	0.5519	1.7721	0.8775	1.5756	1.1665	1.733	0.8464	2.4687	1.4027	3.4375	2.044	7.5776	2.347	0.5218	0.9973	0.8474	1.4156	0.7956	0.5381	4.8947	2.0035	2.4007	5.7745	6.7448	1.2128	2.1075	4.6508	2.7667	2.0571	2.0144	0.3636	1.5383	1.3337	1.3704	0.8085	0.6498	3.2864	1.9989	3.7298	1.4642	0.7303	0.587	0.7547	0.8024	1.1674	2.4555	1.2111	2.8623	0.4387	1.2	0.6981	2.1528	1.8388	1.8538	0.2163	0.6349	1.0349	1.108	2.4502	0.7843	2.3355	0.5372	3.6961	0.2214	0.7666	1.5452	0.9095	0.6046	0.7391	1.0174	4.1171	2.8233	0.9856	1.6115	1.7668	1.2784	1.5857	3.781	1.6462	4.8417	0.9812	1.1096	4.8559	2.1995	1.942	0.9753	3.8685	1.03	0.8704	0.8316	1.1811	0.4756	1.3212	0.7097	1.0092	0.8377	0.6541
Gallic_acid	0.2229	0.5164	0.3028	0.259	0.0111	0.2351	0.3787	0.0971	0.2766	0.32	0.1615	0.2804	0.3101	0.2238	0.4664	0.2936	0.1011	0.1945	0.2167	0.2772	0.2849	0.6448	0.1262	0.2876	0.227	0.3941	0.302	0.2434	0.293	0.4917	0.1817	0.1797	0.3224	0.3043	0.2125	0.4195	0.3279	0.6739	0.2828	0.3536	0.1748	0.2927	0.1494	0.4627	0.0156	0.1857	0.3572	0.1944	0.3204	0.3096	0.1476	0.1993	0.3049	0.3896	0.2462	0.3137	0.2174	0.2688	0.3002	0.1491	0.2875	0.1152	0.2729	0.3331	0.3864	0.0933	0.2617	0.2597	0.2444	0.2718	0.0873	0.2566	0.2257	0.4214	0.2716	0.2564	0.1404	0.2229	0.2897	0.2759	0.3049	0.4382	0.1546	0.2216	0.5667	0.2493	0.1551	0.3571	0.3086	0.2026	0.1196	0.3228	0.3206	0.2278	0.2227	0.1836	0.3697	0.2859	0.3296	0.3198	0.1992	0.6847	0.21	0.2085	0.2283	0.1224	0.3319	0.2901	0.2997	0.0426
L-Histidine	0.6706	1.5159	0.4174	0.4669	0.7119	0.4498	0.5302	0.661	1.2546	0.6035	0.8451	0.3052	0.8921	0.771	1.6291	0.5433	0.3902	0.4057	0.4272	0.5379	0.9783	0.808	2.0023	2.4098	4.048	0.9952	0.4166	0.7434	0.4314	0.6479	0.3649	0.4796	1.9055	1.0988	1.1146	3.6762	3.2274	0.6298	1.3394	2.9512	0.9537	1.1915	0.4609	0.4639	0.6849	0.7036	0.7643	0.3418	0.4871	1.4557	0.4765	1.2634	0.8304	0.5315	0.37	0.4693	1.0016	0.398	1.1684	0.6957	1.3861	0.2899	0.3415	0.3316	1.2535	0.3636	0.7807	0.2123	0.4193	0.5484	0.4325	0.7809	0.3352	0.8267	0.4022	1.5565	0.2302	0.5474	1.0194	0.4877	0.4135	0.5357	0.4039	0.8554	2.8989	0.6993	0.7641	0.7323	0.9662	0.8607	1.133	0.6792	2.1965	0.5022	0.4685	0.9407	0.419	0.5346	0.7668	1.9358	0.5773	0.3927	0.2735	0.5206	0.3639	0.5515	0.4066	0.4854	0.7538	0.3091
