Header	K003	K036	L071	L073	L078	L080	L085	L091	L092	L094	L098	K043	L099	L106	L107	L109	L113	L123	L127	L128	K044	L130	L134	L137	K057	K059	K064	K066	K078	K080	K007	K092	K094	K099	K106	K107	K113	K114	K116	K008	K120	K121	K127	K128	K130	K134	K135	K141	G003	K010	K007.2	G013	G014	G015	G017	G036	G058	G078	K015	G080	G085	G087	G092	G094	G099	G101	G107	G109	G114	K022	G116	G120	G121	G128	G130	G134	G161	G162	K024	G177	G179	G184	G186	G190	G191	G193	G302	L001	K029	L003	L007	L008	L010	L015	L017	L021	L022	L028	L029	K031	L030	L043	L045	L049	L050	L052	L057	L059	L064	L066
Capric_acid	9.5779	6.1755	6.1775	7.3485	8.5498	5.5338	7.2207	8.7648	6.8258	5.8892	4.6027	7.0496	14.5559	4.7958	9.7972	4.919	4.795	12.2855	7.585	6.463	5.7858	9.3387	4.7023	4.0999	9.1204	14.3771	7.2141	10.1639	8.096	9.1491	18.1833	4.9807	10.7792	6.5707	20.5719	8.2894	11.9744	10.5937	9.9882	5.9805	8.9308	6.7846	14.4175	8.806	11.3672	16.1798	8.2065	14.1743	19.4989	7.4828	11.6726	6.8951	7.2905	6.7054	6.3391	7.8827	6.96	6.206	6.4948	19.9597	5.8272	7.0093	9.2393	5.3227	6.2903	7.8015	6.8019	19.4964	6.561	7.7283	5.2342	7.7559	6.2335	6.499	6.0835	6.8654	4.4965	5.7778	13.0922	5.8307	5.0514	5.8918	3.9589	6.5599	7.2087	6.6497	11.1833	9.5382	7.9074	4.9416	17.8719	9.9826	6.1621	6.8704	4.372	5.4904	8.3599	10.2591	6.0312	7.2901	5.9055	11.9647	6.8735	9.0184	7.2893	4.0649	7.2977	7.8275	4.4827	6.7225
Butyric_acid	6.1584	4.8796	5.5573	7.0212	7.3445	3.9743	5.8	10.4369	5.9027	4.4153	4.5851	5.2322	11.3811	5.9017	8.8867	4.1363	5.0447	5.4576	4.7007	5.3537	4.5314	9.574	5.7248	3.2202	5.3477	10.9147	5.8884	7.1238	6.2325	6.686	7.7526	4.3588	9.1133	5.1138	8.0627	6.3843	10.1029	8.1813	6.4117	4.8604	4.9107	5.2899	5.7083	6.5023	6.5049	6.2104	6.4588	12.1288	5.7186	5.4574	12.5418	7.2699	5.4094	5.2119	5.672	6.5213	5.9464	5.001	5.2995	3.1985	5.5078	3.9991	6.9056	5.4928	5.0735	5.9714	5.7328	3.5149	5.4625	5.9512	4.2286	10.2599	5.1214	5.5959	6.0091	8.1075	3.1915	5.09	8.8426	4.9939	4.6138	4.4359	3.2489	6.226	6.773	3.7448	9.0983	7.7496	5.9741	4.1996	13.0468	7.6392	5.0054	5.567	3.8378	4.487	7.3598	18.1852	4.6737	5.6807	3.7783	7.4465	4.2512	11.3611	5.8102	8.4871	6.246	8.5544	3.7223	4.1339
L-Leucine	21.2433	25.7556	15.2919	13.7731	21.0345	11.7394	16.3314	15.5183	19.1749	14.3222	21.0649	18.3058	17.418	18.6507	20.4269	10.3675	14.5305	12.6379	14.773	15.3313	22.984	24.7273	27.7065	21.7569	66.7602	21.6977	16.1176	14.9634	16.8443	19.6495	12.1028	11.8912	42.0397	19.9766	22.5162	28.7887	66.8784	21.5683	16.4616	34.1636	28.412	21.5706	24.1434	21.0542	20.1716	15.6108	18.8028	12.583	10.1688	26.9816	17.5974	29.76	16.8284	15.7575	11.0286	17.5712	14.3083	19.5035	25.0911	12.0071	29.3392	9.7986	19.7198	11.2359	20.0243	18.888	23.161	10.2619	15.2493	16.2223	13.6979	17.6662	16.9719	24.3205	10.8332	20.8959	8.8259	13.7075	18.6984	16.5073	10.2881	15.3081	12.8643	16.4729	21.8353	11.8208	16.8361	20.7936	17.422	13.7462	20.6736	21.1473	29.1127	19.4479	14.6203	19.0041	23.5234	15.2772	15.0105	27.9051	15.1534	15.8622	36.5842	16.9238	15.8797	16.0258	16.0911	12.1315	13.8131	10.3816
L-Valine	20.8268	15.2619	9.8122	13.7226	13.2729	29.4321	10.2519	12.8638	13.4052	13.1425	17.9918	11.0724	12.5521	14.3749	14.1127	34.9107	13.363	9.6716	11.2948	10.5761	14.8264	12.3247	22.0254	19.6856	56.4294	15.4091	10.0102	11.9944	10.7836	13.4431	11.4077	8.0586	25.5945	13.0373	16.2436	20.172	48.2803	11.3316	11.9517	22.8183	22.4766	14.2673	18.7543	10.9686	17.48	13.2963	11.6985	9.446	11.0472	15.8157	16.4201	21.1257	13.0127	10.3234	9.5906	10.7192	16.9904	11.8243	14.7202	9.0453	22.5228	24.0896	11.4252	28.4499	12.9245	15.3108	14.2261	11.2645	10.1174	10.6289	11.8597	15.2069	10.6936	17.0934	9.509	16.5016	27.2535	12.0116	12.2493	10.4845	8.6538	10.2096	11.3716	13.399	15.3813	8.2881	14.1062	14.0437	12.2301	10.8001	16.2167	13.0751	21.6593	12.1524	12.0539	15.2577	12.3795	11.8038	10.1374	20.7223	12.0332	9.7757	8.5965	13.7303	9.6828	12.6902	10.0666	9.0765	9.4458	8.9986
L-Isoleucine	7.3792	6.6084	3.4713	4.2174	4.9641	4.2315	3.4491	4.1332	5.2579	3.8607	7.6204	4.9759	5.0563	5.3726	5.2101	3.48	4.6326	3.6877	4.3197	3.8128	7.9817	4.4731	8.9209	7.1144	13.3242	8.0663	3.7566	4.8408	4.4067	6.0015	4.2526	2.8697	12.3317	5.5961	6.7784	6.0305	21.6056	3.9712	5.4301	8.4451	9.7136	6.9562	6.5079	5.1585	9.1192	5.7868	5.1154	4.0759	4.5039	6.1489	5.6625	12.0574	4.7582	3.7667	3.6468	3.8369	3.4046	4.8237	4.733	4.4728	10.0642	3.6175	5.3763	4.09	5.9228	6.9834	6.5495	3.8866	4.1238	4.0459	5.062	5.7528	4.5189	6.8599	3.206	6.7882	3.6205	4.8297	6.1564	4.3002	3.1416	4.2498	4.6214	4.6205	5.699	3.3366	6.2341	5.4758	4.8488	4.3597	6.7266	5.2139	9.7153	4.5468	5.0404	5.8593	5.3014	4.1028	3.8288	10.1564	5.5572	4.7081	4.9968	4.2269	3.4898	6.3566	3.7598	3.1658	3.4532	3.6924
Propionic_acid	12.9573	3.0519	2.8863	5.9054	4.6466	7.1555	3.0682	3.0313	3.7254	5.5931	7.3706	3.3724	2.6071	6.3267	1.5742	9.3583	6.8387	5.1936	3.1274	2.8006	4.0861	2.7342	2.934	5.2907	5.6216	6.1696	5.1402	13.3895	5.0701	6.8708	4.5642	2.2704	3.2813	1.9676	1.9078	2.8221	3.3475	3.2197	7.3509	2.1623	5.4249	2.3814	2.4069	6.8752	35.2723	4.3531	3.3463	2.8981	5.2059	3.2145	6.3902	3.6442	2.847	3.9335	6.5593	2.9708	4.9671	2.8133	2.3528	5.9482	2.4123	6.8753	4.4637	5.9958	2.3306	3.2763	3.2942	7.9272	3.9108	3.311	6.3778	4.9037	4.2825	2.9865	4.543	3.6479	8.6501	3.4601	6.0415	2.7816	5.1201	3.7498	4.5241	2.7584	3.0714	5.7728	7.3621	2.4867	4.8909	7.2223	3.375	2.826	4.9391	2.7308	7.0867	3.7048	2.955	3.6307	1.9466	4.7364	5.8846	4.9082	9.4233	5.3408	3.7057	10.2743	2.751	3.4082	3.4451	4.3459
Propylene_glycol	6.7323	3.3889	3.4647	6.1508	5.7398	6.1087	4.128	5.2952	3.4906	6.9293	5.4777	3.5038	4.3274	9.1693	2.5249	7.3021	8.1857	10.3027	3.9101	5.9517	5.5826	1.9099	62.3478	20.3377	7.9328	5.6766	4.2815	5.7061	13.9488	5.6854	9.3119	3.0767	4.0461	2.7278	11.3459	3.3188	2.8397	5.0282	4.5	3.4985	59.8313	4.1759	59.4032	6.6104	11.6697	7.7008	3.9915	4.0557	5.5349	3.3875	8.5816	5.1576	7.6469	4.5176	7.4346	4.5216	5.0733	4.9487	3.6618	5.7723	2.8038	5.3623	5.4287	7.4768	2.0601	4.6467	4.4687	6.1861	5.1328	3.3558	9.9495	17.0465	5.1483	3.3659	5.7107	4.1788	10.2115	5.2375	4.5021	4.0587	5.0472	8.3228	8.5312	7.0488	5.2724	8.7284	7.6467	2.9485	5.4032	4.7351	34.6578	4.3453	4.9356	3.5436	7.4284	10.1949	4.2227	7.1656	2.9155	4.4233	6.2629	5.4564	8.235	15.7804	4.1609	6.1055	3.6601	4.5379	3.6348	5.5002
Isopropyl_alcohol	10.8603	9.4396	9.377	41.1266	17.4092	45.979	14.0141	21.5446	12.1917	42.4045	16.5638	10.8988	11.5937	37.876	10.6765	41.919	24.1262	47.7765	28.862	16.2338	11.784	5.0851	20.4907	12.8353	4.8214	7.2195	14.4429	15.6212	13.1523	13.1373	20.1949	11.124	6.0177	10.6837	7.9786	8.1657	5.0112	9.8921	7.8734	9.2101	16.8736	12.4939	15.281	14.2229	13.9196	18.1768	12.8273	12.6208	13.8176	10.9472	32.2001	24.2316	43.782	12.7126	37.4145	13.4089	4.916	12.9615	10.1852	19.8691	12.5153	19.2504	13.1114	26.8267	8.5092	22.5285	14.1098	22.8014	15.0863	11.3466	40.8999	60.2778	14.5613	11.5619	18.1124	23.9152	21.9398	14.1892	7.1873	12.9359	40.0243	9.5574	21.656	46.7612	6.8805	34.1071	23.6955	11.2048	10.3285	36.6938	21.3074	13.2987	9.8283	16.0544	39.4501	59.9807	14.1235	93.1784	11.1107	10.6398	31.334	10.2174	47.7253	78.3947	14.4788	41.0363	13.9337	29.921	11.4989	26.4895
Valeric_acid	7.8068	4.9036	6.2103	8.4917	7.094	5.0042	6.2172	13.9115	5.5816	7.0004	5.5036	5.7664	18.0918	6.7162	12.3286	4.6056	6.9966	14.5626	11.3418	6.2338	5.4706	9.2107	6.6508	4.129	9.7964	10.1052	5.8655	5.0689	6.7746	6.612	11.9217	4.5276	4.0084	5.4198	42.0762	5.9442	13.3077	7.1596	6.0228	5.2416	17.6996	6.7447	37.7622	7.6175	7.9797	13.5712	6.9421	14.8062	17.5382	5.7131	15.2955	7.5796	7.1373	5.8509	5.1129	7.0439	6.7431	6.2115	5.8628	34.6445	5.1951	13.6069	6.4953	7.5681	5.3395	14.892	5.4735	32.9021	8.1375	5.1803	9.232	10.3114	6.9417	5.6384	6.9429	8.3196	6.0537	7.3663	6.1971	5.3542	4.7426	6.4534	6.7164	7.0761	4.5898	9.7672	22.3483	7.1869	6.548	4.3341	21.3787	5.9526	4.3695	5.5836	5.7823	5.5148	5.7209	16.8933	4.2663	6.4323	7.7524	7.4722	7.2441	11.9319	7.1682	4.8079	6.6058	9.44	6.8235	6.6452
L-Lactic_acid	14.1596	14.0481	10.2567	11.2376	14.6868	9.255	10.2702	25.5501	18.4551	11.3911	29.498	14.7992	60.3064	23.869	26.6735	6.0285	15.6678	14.3223	14.9817	10.6385	13.5857	216.2983	145.1323	12.3904	44.153	17.1066	9.2152	11.6155	10.9151	11.7215	12.2389	9.1307	27.6705	14.9967	98.9448	34.6787	18.3019	12.4839	15.4503	26.7715	194.2641	21.398	196.7453	36.5155	11.8436	14.1909	12.905	13.2788	14.1095	17.2043	22.0462	35.2414	29.9456	9.7923	8.8099	10.3207	54.5411	10.4166	16.0438	22.4329	22.086	28.7892	11.375	8.4944	12.1862	26.6737	13.4373	20.8836	11.0733	11.0722	10.4024	19.5702	10.6425	19.1303	9.3269	32.7828	6.9111	24.4328	8.1823	10.1058	9.2344	11.7071	16.9828	25.8906	24.4955	43.5467	23.9113	18.4332	14.3618	16.8565	39.2279	14.9967	27.4734	11.7091	11.6559	22.3608	12.715	16.7508	11.8767	29.9099	25.1935	54.6622	7.7737	18.5908	10.3672	10.9656	9.9896	11.6736	11.0196	8.5247
L-Alanine	10.6728	14.1718	6.2531	5.3202	10.6686	5.4006	7.6196	10.024	9.5315	5.9058	11.7822	9.5998	11.3317	10.4664	12.5235	5.3952	9.9107	6.2444	6.7045	6.4443	12.5958	10.3177	30.2412	22.2642	50.9642	12.214	5.5489	8.2748	6.9517	8.3728	6.84	5.1317	20.9238	11.5697	18.4498	19.6563	30.2824	6.761	10.6467	19.1504	28.887	13.0958	31.9273	7.1205	22.9303	8.4904	8.6316	6.1228	5.708	14.7416	11.379	18.1421	12.5365	6.912	5.707	6.4644	7.5055	7.5527	12.5368	7.8303	16.0432	5.5794	8.3331	4.568	10.9263	11.6945	10.4049	6.8274	6.5982	7.1352	6.4152	9.2738	6.7255	13.9445	4.6621	16.0164	4.4092	7.4295	11.0573	6.9451	6.0209	8.781	6.6227	10.1847	27.764	7.2835	9.4095	11.0034	9.3433	7.81	22.7255	9.9393	25.0338	7.212	6.9302	11.4787	8.9165	5.9607	8.1318	20.7208	9.777	11.2757	5.5655	7.1368	5.4517	9.3115	5.9065	5.0954	7.4398	5.026
L-Lysine	22.9098	17.0498	11.6239	19.7513	15.766	19.2447	13.1722	21.1568	15.9366	21.2863	16.4344	15.0065	13.1916	16.2757	14.2878	20.7139	22.0752	16.1504	15.6824	12.224	15.527	18.56	41.2145	26.1281	44.5416	18.2476	11.809	16.1258	13.4438	16.0811	12.6612	11.9398	25.0214	15.5672	16.3902	28.1038	46.4192	13.3347	17.1283	25.4648	22.8103	17.0521	20.4736	13.4908	35.0826	12.3119	13.4159	9.9116	12.0358	20.0377	14.2057	19.9546	22.5948	12.8528	11.0355	13.4906	15.2514	12.947	18.5985	10.8057	18.1529	13.6347	13.8543	15.8392	14.7457	18.0629	15.8276	12.8556	12.5533	13.1852	16.9071	24.8643	13.1258	17.2939	13.6992	26.2348	14.0343	14.9029	20.7805	12.0455	15.8042	13.8584	13.7549	22.8229	86.2044	17.0459	16.7911	13.6267	12.9937	16.7394	15.2387	14.0611	24.5331	14.3465	16.9971	22.7745	16.3828	23.9662	13.0137	21.326	18.8296	12.7552	21.0032	22.5322	12.5492	18.4135	11.4987	14.411	12.3813	15.9552
Acetic_acid	17.3046	16.1807	11.4873	24.5179	31.9057	7.5337	12.0353	206.3459	11.0626	27.6681	331.7625	31.1538	55.0084	155.9835	13.0887	16.6511	220.1289	74.0641	42.7889	12.54	12.729	72.7275	474.1241	56.54	27.3003	14.3887	9.5874	13.5412	22.0869	16.0457	14.3616	20.6919	20.072	19.8879	198.3732	22.8139	41.9267	17.5837	12.1011	19.2411	337.7782	20.3365	254.9589	12.7766	22.9621	17.5796	10.5521	13.622	27.7479	13.6484	410.2532	15.4319	271.3052	11.5147	10.0542	11.8815	73.105	11.2881	14.4064	107.7429	11.2542	55.0174	19.1668	7.0714	18.9672	50.5295	12.3185	55.6932	10.5336	11.6304	10.8521	104.904	10.9767	13.5233	22.6516	89.522	5.3935	10.4458	19.2683	10.8918	9.0569	30.295	10.2392	51.8001	60.1935	170.9201	30.7344	12.9655	14.7223	9.3076	613.908	11.4291	50.6481	11.4644	12.2372	248.8922	16.7104	29.05	13.1042	20.6851	108.4905	21.8765	13.8377	122.6674	10.0454	33.3952	10.2687	7.8008	12.3174	9.9448
5-Aminopentanoic_acid	2.1849	4.2948	4.2963	2.5044	3.3973	1.7224	3.6213	1.6468	2.8656	2.19	1.7003	3.7163	3.9146	2.5854	2.2033	1.1494	1.6505	2.0361	1.7816	4.2279	2.4737	3.9489	1.8477	1.7806	1.8982	1.6724	3.6534	2.0431	4.1715	2.2003	2.6377	4.5781	1.8986	2.6851	2.7282	3.081	2.7782	2.7968	1.6448	2.4105	3.6893	2.3712	3.8993	2.4946	2.3959	4.5683	3.488	2.6955	1.5885	2.462	2.8266	1.6078	1.7157	3.8755	1.8006	4.0825	2.9623	4.3178	2.7416	2.8748	2.3032	2.1215	2.7995	1.9361	1.9289	2.6626	3.121	3.2603	3.5956	2.9773	1.8885	1.9078	3.6826	3.8806	1.8427	1.5267	1.543	1.4924	1.9291	5.0504	1.638	4.37	1.7807	1.6558	1.8245	2.8716	1.5681	3.1369	3.5294	1.2944	2.4266	2.6381	2.0219	4.0198	1.5791	2.0605	4.235	3.654	2.5616	1.9847	2.1161	2.8897	1.8045	4.9809	3.6077	1.5472	4.7034	1.8375	3.905	2.8662
L-Glutamic_acid	7.5584	12.9199	7.556	8.0699	8.3864	4.9971	7.0767	25.5088	21.8797	10.0635	23.8172	10.1056	14.229	13.7501	34.4228	3.9143	12.1612	9.6167	10.1273	9.0312	8.5764	19.881	18.1242	47.5191	39.7742	14.2531	6.5303	8.3667	6.5971	6.387	5.9246	7.4294	19.4176	14.027	28.3085	54.5815	63.3362	6.7605	14.5386	40.1487	25.3198	17.3697	30.3532	5.7546	7.4767	6.8014	8.5016	5.9635	4.7389	21.7177	15.3232	17.1342	21.988	8.7494	4.3107	7.6125	11.1203	8.5501	23.5708	11.1152	18.0983	6.8226	6.735	4.5317	12.2132	15.3547	8.2669	7.6255	7.7564	8.7746	4.8377	14.2585	7.446	17.7877	4.7684	32.4136	3.4934	7.2697	6.8228	8.0611	4.6142	8.2385	7.2782	17.884	34.1534	9.8802	6.8561	11.8056	7.7541	14.0217	7.8049	10.0298	26.3385	8.7579	5.674	26.255	7.3264	9.7469	12.0525	33.4217	16.783	7.354	6.6075	11.6275	7.3428	13.1709	7.2992	6.0016	9.9628	10.9913
Succinic_acid	5.2794	4.8312	5.7706	3.049	6.4573	3.0608	5.1215	23.9902	5.7819	4.0594	63.7737	4.855	6.174	12.6407	8.3474	51.6906	110.0852	3.5922	5.8039	5.587	4.0435	35.718	58.0597	95.6208	4.3677	4.034	5.1067	5.4549	5.2974	4.3186	3.4117	4.4401	5.34	3.9142	16.7125	4.8377	121.6419	4.9914	4.1778	4.8329	21.367	4.3999	36.2338	4.2752	8.8437	3.209	4.5989	3.3719	4.1765	4.4701	23.2468	3.7291	24.0375	4.7602	2.9217	5.1627	12.9318	5.1991	5.1168	3.2376	4.6686	3.8773	5.2374	3.1588	4.8419	3.3	4.3726	3.0745	5.4196	4.9427	3.3737	5.6992	5.1889	5.4113	3.5414	20.4798	3.361	3.5412	5.6232	5.3046	2.9492	4.7481	3.361	4.8289	7.9302	5.3798	4.0806	5.3827	5.0168	3.542	8.7986	4.7579	6.2328	5.1963	3.0544	21.844	4.5281	3.4653	4.7162	5.327	4.0515	5.661	3.9979	5.1501	5.441	5.2737	4.9057	2.4666	4.9413	2.8315
beta-Alanine	3.0372	3.857	1.9068	1.9725	1.9881	2.1795	2.4549	2.5315	2.0927	2.6371	1.4894	1.3443	1.5283	0.9324	2.2087	2.6058	3.4461	1.3695	2.1994	2.0678	1.7092	7.3515	1.1447	78.5757	1.2604	2.407	1.5574	2.7469	2.1131	1.9961	30.8774	1.5399	3.586	1.3658	2.9316	1.4429	1.9334	2.7657	2.1075	1.4492	2.8596	1.2607	2.1606	1.5012	3.7968	3.4716	1.3458	53.0666	7.9704	1.712	3.6552	1.7374	2.2637	2.226	1.9688	2.0967	5.8482	1.845	2.1022	1.2528	3.0702	2.1871	2.6785	2.8468	2.0241	3.0481	1.329	1.6567	1.6938	1.6559	2.056	2.8886	1.5955	1.8083	1.7074	3.1536	2.8041	1.8312	3.1684	2.1279	2.1104	2.3316	1.8869	2.37	2.5046	1.0344	3.2033	1.8584	3.5196	1.5528	0.8922	1.8817	5.3512	1.907	1.5656	1.2946	1.6255	1.477	2.6868	2.001	1.318	2.549	2.6497	1.7613	1.7395	113.194	1.6158	1.3409	1.9027	1.7483
Methylamine	1.4404	0.8629	0.8114	0.82	0.7822	0.9723	0.8046	0.6113	0.7758	0.8125	0.7006	0.7813	0.668	0.5474	0.8833	1.116	0.7758	0.5668	0.6772	0.7816	0.8125	1.5756	0.5975	2.4742	0.4946	0.8981	0.8676	0.9892	0.8146	0.8818	1.9057	0.9182	1.0094	0.7165	0.7543	0.7294	0.9111	1.0659	0.7236	0.689	0.9601	0.6881	0.7828	0.8412	1.0193	0.7422	0.7765	1.5465	1.2662	0.6813	1.0361	0.7056	0.579	0.9011	0.7804	0.8522	1.3113	0.8191	0.6482	0.951	0.9394	0.8331	0.9436	1.0257	0.8241	0.6608	0.8261	0.597	0.8146	0.7962	1.0949	0.7653	0.8514	0.7985	0.788	0.7766	1.0916	0.689	1.0172	0.7959	0.664	0.7658	0.8462	0.7193	0.702	0.5629	0.815	0.8042	1.0941	0.5769	0.4348	0.8584	1.0186	0.9312	0.6579	0.6637	0.8511	0.5724	0.8087	0.7128	0.5679	0.9996	1.1129	0.6346	0.8668	1.8583	0.7907	0.6068	0.756	0.6658
L-Aspartic_acid	1.9463	7.9657	3.9386	5.9982	4.2336	4.2019	5.195	7.2832	6.0908	6.8953	3.3695	3.433	3.5086	4.5949	6.4166	3.3531	7.2752	4.948	6.9172	4.6801	2.765	6.6926	5.4306	21.7571	3.6245	2.0096	4.0425	3.2409	4.0412	4.4265	4.949	4.506	24.9985	3.9582	7.3124	5.8329	3.8594	5.2083	2.2736	4.4222	6.5714	4.004	3.7938	3.4976	1.6638	4.662	4.1963	12.4121	22.5662	3.7477	5.6223	3.0129	7.8211	5.4753	2.4468	4.0953	9.3335	2.846	4.2691	2.7312	7.8329	2.7531	11.839	4.7005	3.7945	5.2232	5.0415	2.7554	3.639	4.3533	3.2754	8.2573	3.752	3.7976	2.4403	10.7755	2.0286	3.9714	2.9848	4.5885	5.7259	9.5163	2.1051	9.5083	15.7868	4.8923	3.7431	3.4899	7.6999	4.7776	1.5448	4.8912	13.8731	5.7365	3.8467	7.7335	4.4161	9.3429	6.2603	11.6774	4.4056	11.6301	4.24	5.4227	4.9571	14.7576	3.4726	5.5744	2.8331	7.8331
Sarcosine	2.3671	4.03	3.6858	5.8215	2.0585	5.1905	4.2537	4.0777	4.1599	4.584	3.4034	6.3731	5.1068	6.5862	5.6094	3.9636	5.3449	5.3015	6.8563	4.2984	2.8761	3.9855	4.9202	4.2225	2.316	2.6802	3.6831	3.3008	3.4403	2.4532	3.2642	7.3223	2.9539	5.5284	2.3374	3.4325	2.7395	3.9052	2.5371	3.6754	2.5148	9.211	2.0264	3.1696	1.9573	2.6898	3.7095	3.5446	2.8982	3.7715	2.1224	2.8533	5.1644	3.3947	3.4749	3.6354	2.8523	3.6994	3.8107	3.7896	5.6161	3.5288	3.3974	4.5373	5.9462	4.3919	3.9873	3.5151	4.681	5.2801	4.1958	6.863	3.5051	4.1874	3.4358	5.2562	2.2696	3.0735	2.8297	3.6158	5.3431	5.073	2.5895	6.9728	3.3828	5.7645	2.6762	4.2858	4.5213	4.8338	1.3438	3.8843	4.0674	4.28	4.5669	7.2029	3.6682	6.2416	6.5283	4.5809	5.5597	2.6128	5.3073	7.7733	4.0005	3.5906	3.4566	4.917	3.6442	5.4337
Trimethylamine	1.0788	1.0524	1.3908	0.6784	1.6726	0.5549	1.407	1.046	1.1945	0.7662	0.8744	0.5326	1.0384	0.9639	1.4623	0.6258	1.0058	0.6695	0.8864	1.3557	1.155	4.6062	0.868	0.752	0.7495	0.917	1.2887	1.2115	1.1357	1.1487	1.3101	1.0455	1.2279	1.0147	1.3407	0.9757	3.0808	1.5189	1.2674	1.1357	1.0116	1.074	1.2357	0.4575	0.8322	0.8006	1.1469	1.3256	0.7785	1.0438	1.0059	1.0426	0.8994	1.3225	0.8299	1.3635	3.3314	1.2815	1.118	1.711	1.2459	0.426	0.8917	0.7473	1.1748	0.6771	1.1965	0.8292	1.422	1.1913	0.9472	0.7418	1.2969	1.3191	0.6321	0.9504	0.6366	0.5875	1.506	1.2507	0.7408	1.0574	0.7637	0.6754	1.4236	0.7742	0.6756	1.2295	1.5538	0.5706	0.8281	1.1738	1.1355	1.3673	0.6634	1.0795	1.1697	0.8291	1.0941	1.0171	0.6553	1.223	0.6735	0.6778	1.4105	0.7302	1.2588	0.6282	1.1799	0.9945
L-Asparagine	1.3607	1.5659	1.3787	1.9168	1.4732	0.8453	1.3737	4.1931	1.5738	1.9331	2.3211	0.935	1.3139	1.5393	1.7791	1.2221	2.1373	1.5492	2.1587	1.3764	1.5428	7.8629	2.8045	1.042	3.2105	1.6093	1.4329	1.3946	1.2222	1.1457	1.8938	1.4749	2.2394	1.2348	2.3775	2.1785	5.0279	1.7381	1.8744	2.7962	1.8517	1.2619	2.0476	1.1166	0.9809	1.1984	1.3356	1.995	1.2662	1.974	2.313	1.7398	2.4928	1.4449	0.8992	1.4054	4.9207	1.5968	1.881	2.2897	1.5603	0.9206	1.6251	0.9822	1.5709	1.8656	1.4981	0.8368	1.5253	1.5432	1.6538	2.7326	1.5237	1.7654	0.8179	4.2048	0.8039	1.0232	1.5649	1.3839	0.9888	1.363	1.0993	3.3203	2.4751	1.7485	1.1947	1.3434	2.6566	0.9561	2.8813	1.2876	2.0798	1.4966	0.8477	4.5761	1.4678	2.5746	1.366	1.5605	1.3044	1.6375	1.0228	1.8962	1.3692	1.3074	1.3671	0.7838	1.4135	1.0684
